n,t_mean,t_stdev,t_mean2,t_stdev2,mean_space,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,90740.6,14634.8,740.625,1.58572e+06,4049,77700,80525,85750,92825,134100
2,195103,34775.1,648.145,69124.4,8174,161900,176025,182800,207100,339300
3,496544,51979.1,639.005,19709.8,20303,437500,451050,471600,537375,587800
4,985684,80132.9,673.094,18456.7,40682,896700,921700,958950,1.0181e+06,1.1948e+06
5,1.89476e+06,136181,805.409,46283.9,81319,1.7652e+06,1.7826e+06,1.8765e+06,1.9662e+06,2.4024e+06
6,4.57874e+06,168223,1037.67,140695,202589,4.3876e+06,4.44612e+06,4.5482e+06,4.61882e+06,5.1581e+06
7,8.79729e+06,115460,998.052,38920.4,406378,8.6507e+06,8.70268e+06,8.7675e+06,8.853e+06,9.0785e+06
8,1.74793e+07,219092,1249.94,167703,812747,1.71685e+07,1.7346e+07,1.74047e+07,1.76018e+07,1.79386e+07
9,4.31388e+07,180958,1092.19,30200.5,2025446,4.28323e+07,4.29757e+07,4.3165e+07,4.32512e+07,4.34765e+07
10,8.59388e+07,646865,1915.38,561169,4063343,8.53063e+07,8.56377e+07,8.57732e+07,8.59385e+07,8.87981e+07
11,1.71491e+08,981580,1234.86,144381,8127027,1.70439e+08,1.70853e+08,1.7105e+08,1.7181e+08,1.74862e+08
12,4.29182e+08,1.90615e+06,3344.84,155187,20254017,4.27812e+08,4.28431e+08,4.28735e+08,4.29153e+08,4.38617e+08
13,8.60475e+08,9.20051e+06,4232.65,2.09966e+06,40632986,8.54937e+08,8.56492e+08,8.57524e+08,8.60469e+08,9.02704e+08
